text,label,source,subject,license,title
"This study introduces a novel deep learning architecture, the Harmonic-Voicing Variational Autoencoder (HV-VAE), for the unsupervised analysis of tonal harmony. By leveraging a disentangled latent space, our model separates the abstract harmonic function from its concrete chordal voicing. We trained the HV-VAE on a large corpus of digitized Bach chorales represented as piano-roll matrices. The model learns a continuous, low-dimensional manifold where one axis corresponds to diatonic function (e.g., tonic, dominant) and orthogonal axes represent parsimonious voice-leading transformations. Quantitative evaluation demonstrates superior performance in chord labeling and functional analysis tasks compared to traditional Hidden Markov Models and standard VAEs. Furthermore, qualitative analysis of the latent space reveals topologically coherent structures mirroring established music-theoretic concepts, such as the circle of fifths and neo-Riemannian transformations. This approach provides a powerful computational framework for exploring the hierarchical relationship between abstract harmonic syntax and surface-level acoustical realization.",1,models/gemini-2.5-pro,Müzik,Generated,Disentangling Harmonic Function and Voicing in a Variational Latent Space
"The perceptual phenomenon of orchestral timbre blending, central to the art of orchestration, has remained computationally elusive. This research investigates the acoustic correlates of successful instrumental blending through a hybrid psychoacoustic and machine learning methodology. We compiled a dataset of dyadic instrumental combinations, rated for their blend quality by expert listeners. A comprehensive set of audio features—including spectral centroid, spectral flux, harmonic entropy, and Mel-Frequency Cepstral Coefficients (MFCCs)—was extracted from each audio sample. A Support Vector Machine (SVM) classifier, trained on these features, achieved high accuracy in predicting perceptual blend ratings. Feature importance analysis revealed that similarity in spectral envelope and temporal attack characteristics are primary predictors of successful blending. The findings challenge traditional orchestration treatises that emphasize harmonic series alignment, suggesting instead that dynamic spectral congruence is the dominant factor. This model provides a quantitative tool for composers and a new empirical basis for orchestration theory.",1,models/gemini-2.5-pro,Müzik,Generated,A Psychoacoustic and Machine Learning Approach to Orchestral Timbre Blending
"Generating stylistically coherent polyphonic music with deep learning models remains a significant challenge, particularly in maintaining long-range contrapuntal integrity. This paper proposes a novel generative architecture, the Polyphonic Graph Transformer (PGT), which models musical voices as nodes in a dynamic graph. By explicitly representing the relationships between concurrent melodic lines, the model can apply attention mechanisms not only temporally but also inter-vocally. We trained the PGT on the complete J.S. Bach Well-Tempered Clavier, encoding the music in a symbolic piano-roll format augmented with voice-crossing and intervallic information. The model learns to respect species counterpoint rules implicitly, minimizing parallel fifths and octaves while promoting melodic independence. Objective evaluation using statistical measures of voice-leading smoothness and harmonic dissonance shows a significant improvement over standard LSTM and Transformer-based models. Subjective listening tests confirm that compositions generated by the PGT possess a higher degree of musical coherence and stylistic authenticity.",1,models/gemini-2.5-pro,Müzik,Generated,Contrapuntal Consistency in Polyphonic Music Generation using Graph-Based Attention Networks
"Iannis Xenakis's pioneering work in spectral and stochastic music challenges conventional analytical paradigms. This study presents a computational analysis of his seminal orchestral piece, *Metastaseis*, focusing on the quantification of its characteristic mass effects and glissandi. We employ a non-stationary Gabor transform, a variant of the Short-Time Fourier Transform (STFT) with adaptive windowing, to achieve high temporal and frequency resolution simultaneously. This allows for precise tracking of the microtonal trajectories of individual instrumental lines within the dense orchestral texture. By analyzing the time-varying spectral density, we algorithmically segment the work into distinct textural clouds and mathematically model their evolutionary dynamics. Our results provide empirical validation for Xenakis's own sketches, which map glissandi to ruled surfaces, and reveal a deeper structural logic based on the statistical distribution of spectral energy. This methodology offers a new lens for the analysis of post-tonal, texture-based compositions.",1,models/gemini-2.5-pro,Müzik,Generated,Spectral-Temporal Analysis of Xenakis's 'Metastaseis' through Non-Stationary Gabor Transforms
"The complex rhythmic structures (talas) of South Indian Carnatic music present a significant challenge for automated analysis due to their improvisatory nature and micro-rhythmic variations. This paper introduces an unsupervised method for the discovery and classification of tala patterns directly from audio recordings. The approach utilizes an onset detection function to extract a percussive event time-series. Subsequently, we employ a novel subsequence Dynamic Time Warping (DTW) algorithm to identify recurring rhythmic motifs without prior knowledge of tempo or meter. These motifs are then clustered using a density-based algorithm (DBSCAN) to group performances by their underlying tala. The system was tested on a large dataset of Carnatic percussion solos, demonstrating high accuracy in identifying the principal talas such as Adi, Rupaka, and Misra Chapu. This data-driven methodology transcends the limitations of template-based approaches, offering a robust tool for large-scale cross-corpus analysis in computational ethnomusicology.",1,models/gemini-2.5-pro,Müzik,Generated,Unsupervised Discovery of Rhythmic Cycles (Tala) in Carnatic Music using Subsequence Dynamic Time Warping
"Musical expression is conveyed through nuanced deviations from a score's nominal instructions. This research proposes a hierarchical Bayesian model to disentangle the sources of expressive variation in piano performance, specifically microtiming and dynamics. We model a performer's rendering of a note's onset time and velocity as being drawn from distributions whose parameters are conditioned by multiple hierarchical levels of musical structure: the individual note's metrical position, the local harmonic context, and the global phrase structure. The model was trained on a corpus of expert performances of Chopin mazurkas, aligned to their symbolic scores. Through Bayesian inference, we can estimate the relative contributions of these structural factors to expressive choices, such as phrase-final lengthening or agogic accents on harmonically significant chords. This probabilistic framework not only provides a powerful descriptive tool for performance analysis but also functions as a generative model capable of synthesizing stylistically plausible, expressive performances from a neutral score.",1,models/gemini-2.5-pro,Müzik,Generated,A Hierarchical Bayesian Model of Microtiming and Dynamics in Expressive Piano Performance
"The predictive coding theory of brain function posits that perception arises from minimizing prediction errors. We apply this framework to model the experience of tonal expectation in music. Our model, implemented as a hierarchical recurrent neural network, learns the statistical regularities of Western tonal harmony from a large symbolic corpus. Crucially, the input representation is not symbolic pitch-classes but a psychoacoustically-motivated auditory spectrogram, allowing the model to learn relationships based on acoustic, rather than abstract, features. The model continuously generates predictions about the forthcoming auditory stream. The magnitude of the prediction error—the discrepancy between the predicted and actual input—is interpreted as a neural correlate of musical surprise. We validated our model by correlating its prediction error signal with listener ratings of surprise for a series of harmonically ambiguous chord progressions. The results demonstrate a strong positive correlation, supporting the hypothesis that predictive processing is a core mechanism of music cognition.",1,models/gemini-2.5-pro,Müzik,Generated,Modeling Tonal Expectation and Surprise using a Predictive Coding Framework with Auditory Representations
"Automatic Music Transcription (AMT) and source separation are intrinsically linked but often addressed as separate tasks. We propose a unified, multi-task deep learning framework that performs them jointly. Our model utilizes a U-Net architecture, common in image segmentation, adapted for time-frequency representations of audio. The network takes a mixed audio spectrogram as input and outputs multiple channels simultaneously: an estimated spectrogram for each target instrument and a multi-pitch piano-roll activation map. By learning to separate sources and transcribe notes in a shared latent space, the model leverages synergistic information; knowledge of an instrument's presence aids transcription, and detected pitches inform the separation mask. Trained on the MedleyDB dataset, our joint model significantly outperforms pipelined systems where separation and transcription are performed sequentially. This end-to-end approach demonstrates superior robustness in highly polyphonic and dense instrumental textures, marking a substantial advance for complex audio analysis tasks.",1,models/gemini-2.5-pro,Müzik,Generated,Multi-Instrument Polyphonic Transcription via Joint Source Separation and Pitch Detection with a U-Net Architecture
"Geometric models of music theory provide powerful abstractions for understanding voice-leading and harmonic structure. This paper extends these models to the analysis of post-tonal repertoires by employing methods from Topological Data Analysis (TDA). We construct point-cloud datasets from the pitch-class sets present in compositions by Schoenberg, Webern, and Ligeti, embedding them within a toroidal voice-leading space. Using persistent homology, we analyze the topological features (e.g., loops, voids) of these point clouds across multiple scales. Our analysis reveals distinct topological signatures for different composers and stylistic periods. For instance, Webern's music exhibits a high prevalence of one-dimensional cycles corresponding to his frequent use of inversionally-related trichords, a feature not prominent in Ligeti's micropolyphonic textures. This TDA-based approach quantifies intuitive notions of musical coherence in atonal music, providing an empirical method for comparing compositional strategies not captured by traditional set-theoretic analysis.",1,models/gemini-2.5-pro,Müzik,Generated,Topological Data Analysis of Voice-Leading Spaces in Post-Tonal Music
"The transition between vocal registers (e.g., chest and head voice) is a critical aspect of vocal pedagogy, yet its acoustic markers are complex. This study employs glottal inverse filtering to separate the vocal source (glottal airflow) from the vocal tract filter (formants) in recordings of elite operatic and pop singers performing ascending scales. We analyze changes in glottal source parameters, including the open quotient (OQ), speed quotient (SQ), and harmonic richness factor (HRF), in conjunction with vocal tract resonance (formant) tuning strategies. Results indicate that operatic singers execute register transitions with minimal perceptible change by maintaining a consistent glottal adduction and strategically tuning F1 and F2 formants. In contrast, pop singers often utilize an abrupt shift in glottal configuration, resulting in a distinct timbral change. These findings provide quantitative, production-based evidence for different pedagogical approaches to register management and offer a robust framework for computational analysis of vocal technique.",1,models/gemini-2.5-pro,Müzik,Generated,Acoustic Correlates of Vocal Register Transitions in Operatic and Pop Singing using Glottal Inverse Filtering
